land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,living_room_size,parking_space,front_garden,swimming_pool,distance_to_school,wall_fence,house_age,water_front,distance_to_supermarket_km,crime_rate_index,room_size,property_value
155 sqm,138,3,3,Small,1,0,No,3.5,0,14,0,0.5,0.37,1,120624
187 sqm,187,2,3,Small,0,0,No,5.4,0,2,0,6.6,2.34,1,116733
198 sqm,197,3,3,Large,0,0,Yes,1.8,0,6,0,5.1,4.92,2,157043
257 sqm,247,5,4,Large,1,1,Yes,0.8,1,13,0,0.1,1.77,3,241453
380 sqm,375,6,7,Large,1,1,Yes,0.4,1,22,0,6.5,3.68,2,311732
286 sqm,274,5,4,Large,1,1,No,3.2,1,6,0,0.4,0.57,3,233014
437 sqm,363,8,7,Large,1,1,Yes,1.1,1,22,0,5.8,1.1,2,359654
168 sqm,149,3,1,Small,1,1,No,5.1,0,18,0,0.3,2.53,1,124427
242 sqm,226,5,4,Large,1,1,Yes,4.1,1,22,0,0.4,5.99,2,202827
133 sqm,116,1,2,Small,1,0,No,6.6,0,5,0,2.5,0.03,0,96577
245 sqm,218,5,2,Large,1,1,Yes,2.8,1,2,0,5.8,1.83,3,222083
241 sqm,214,4,3,Large,1,1,No,2.2,0,3,0,5.1,3.71,3,170994
178 sqm,156,2,2,Large,0,0,No,1.5,0,7,0,5.6,0.9,2,136898
152 sqm,148,2,2,Small,0,0,Yes,4.8,1,17,0,3.4,0.47,2,137536
273 sqm,271,4,5,Large,0,0,Yes,4.8,0,6,0,6.9,2.97,2,213309
110 sqm,96,1,1,Small,0,0,Yes,5.8,0,19,0,2.7,5.78,0,64794
129 sqm,110,1,2,Small,0,0,No,4.4,0,5,0,6.8,3.33,2,72606
186 sqm,160,3,2,Large,1,1,No,1.5,0,13,0,2.7,0.37,1,151553
271 sqm,258,5,3,Large,1,0,Yes,6.1,0,1,0,0.2,3.32,3,209898
309 sqm,302,4,2,Large,1,1,Yes,3.2,1,12,0,5.6,4.55,2,253314
152 sqm,141,2,3,Large,1,0,No,6.8,0,22,0,0.4,4.02,1,97118
149 sqm,142,1,1,Small,0,0,No,2.8,0,12,0,3.4,3.5,2,94302
194 sqm,176,3,3,Small,0,0,Yes,2.8,1,4,0,5.2,0.95,2,177614
201 sqm,173,4,2,Large,1,1,Yes,6.6,1,3,0,3.8,0.99,3,187079
162 sqm,162,2,2,Small,0,0,Yes,5.9,0,14,0,3.5,5.88,0,102256
122 sqm,115,1,2,Small,0,0,Yes,2.7,0,18,0,5.5,4.56,0,77583
231 sqm,199,4,4,Large,1,1,No,4.4,1,5,0,5.9,5.4,3,169035
340 sqm,321,5,5,Large,1,1,Yes,5.8,1,5,0,0.8,5.77,3,268799
265 sqm,260,4,4,Large,1,1,Yes,4.1,0,7,0,4.2,3.83,3,199874
225 sqm,197,3,3,Large,0,1,No,3.4,0,20,0,6.5,5.37,2,144933
258 sqm,226,4,5,Large,1,1,Yes,6.3,0,19,0,4.4,3.06,3,191623
286 sqm,270,4,2,Large,1,1,No,0.2,1,3,0,3.5,1.64,2,249837
171 sqm,164,3,3,Large,0,1,No,3.1,0,2,0,4.1,0.69,1,131756
335 sqm,309,5,4,Large,1,1,Yes,3.7,1,3,0,3.2,2.23,2,297858
183 sqm,170,3,4,Large,0,0,Yes,6.3,1,9,0,4.3,4.44,2,140458
177 sqm,173,2,3,Small,0,0,Yes,0.8,1,10,0,2.8,4.26,1,147143
121 sqm,106,2,2,Small,1,0,No,5.3,0,21,0,3.3,4.09,3,69323
330 sqm,304,5,2,Large,1,1,Yes,3.3,1,9,0,6.1,3.32,1,283437
247 sqm,228,4,5,Small,1,0,Yes,0.2,1,22,0,6.6,5.28,3,196586
273 sqm,263,5,4,Large,1,0,Yes,4.1,1,11,0,0.5,4.84,3,219664
216 sqm,184,4,2,Large,1,1,Yes,4.4,0,3,0,0.6,1.19,1,192933
248 sqm,213,5,4,Large,1,0,Yes,0.6,1,13,0,4.4,1.65,3,221418
170 sqm,157,3,2,Large,1,0,Yes,5.5,1,8,0,6.3,3.47,1,142873
390 sqm,357,6,6,Large,1,1,Yes,5.5,1,15,0,3.5,4.39,3,308446
355 sqm,343,5,2,Large,1,1,Yes,3.3,1,16,1,3.4,3.04,2,345256
137 sqm,121,2,1,Small,1,0,No,5.7,0,17,0,6.9,0.16,1,91888
278 sqm,240,4,4,Large,1,1,Yes,4.7,1,20,0,3.3,2.83,2,244847
390 sqm,382,6,4,Large,1,1,Yes,5.4,1,16,0,2.7,2.08,3,310580
581 sqm,503,7,4,Large,1,1,Yes,4.2,1,11,0,1.3,5.61,2,463288
140 sqm,119,1,2,Large,1,0,No,5.4,0,3,0,3.1,1.57,0,98450
182 sqm,167,3,2,Large,1,0,No,0.8,0,14,1,1.9,3.05,2,170187
269 sqm,229,5,4,Large,1,1,Yes,1.5,0,14,0,6.5,5.97,3,193340
302 sqm,300,4,3,Large,1,1,Yes,3.2,0,16,0,2.1,3.18,3,213107
252 sqm,236,4,5,Large,1,0,Yes,4.7,0,20,0,2.6,4.62,1,182592
250 sqm,231,4,3,Large,1,0,Yes,4.8,0,16,0,0.4,0.77,3,185927
310 sqm,269,5,4,Large,1,1,Yes,6.4,1,7,0,5.9,1.69,2,279837
263 sqm,252,4,2,Large,1,1,Yes,3.6,1,8,0,6.6,4.13,1,218874
105 sqm,95,1,1,Small,0,0,No,4.8,0,10,0,6.8,3.19,0,55717
260 sqm,257,4,5,Large,0,1,Yes,6.2,0,15,0,3.2,3.56,2,189921
102 sqm,97,1,2,Small,0,0,No,6.8,0,15,0,0.5,2.92,0,61293
302 sqm,297,4,3,Large,1,0,Yes,2.9,1,10,0,0.4,3.89,2,269499
140 sqm,133,1,1,Small,1,0,No,2.7,0,15,0,2.7,3.66,2,98880
198 sqm,170,3,4,Large,1,0,Yes,4.2,0,15,0,3.1,1.85,1,153942
177 sqm,157,3,4,Small,0,0,Yes,2.7,1,13,0,5.4,3.97,1,137334
339 sqm,315,5,2,Large,1,0,Yes,6.2,1,19,0,2.4,5.02,2,266119
264 sqm,225,4,4,Large,1,1,Yes,2.1,1,10,0,3.8,4.94,1,226628
575 sqm,496,7,7,Large,1,1,Yes,6.5,1,22,0,2.8,1.84,2,457882
260 sqm,223,4,5,Large,1,1,Yes,4.4,1,6,0,3.8,0.91,1,234118
245 sqm,243,4,3,Small,0,1,Yes,2.7,1,22,0,4.7,4.38,2,191562
160 sqm,141,2,2,Large,1,1,No,6.6,0,20,0,6.3,3.29,1,107200
275 sqm,267,5,4,Large,1,1,Yes,3.1,1,11,0,5.9,4.08,3,224300
213 sqm,206,4,2,Large,1,1,Yes,2.3,0,7,0,4.5,3.38,1,166035
186 sqm,160,2,2,Small,0,0,No,0.5,0,2,0,0.1,1.44,1,144103
268 sqm,242,4,2,Large,1,1,Yes,6.7,0,5,0,5.2,4.78,3,197878
215 sqm,199,4,5,Large,1,1,Yes,6.4,1,17,0,5.3,3.45,2,174762
200 sqm,200,4,2,Large,0,1,Yes,0.4,1,13,0,0.3,1.11,1,196150
177 sqm,170,3,3,Small,0,0,No,3.4,1,18,0,2.5,3.79,1,121039
260 sqm,226,4,4,Small,1,1,Yes,6.3,1,10,0,4.7,4.51,1,213944
167 sqm,156,3,3,Large,1,0,No,4.6,1,20,0,6.5,4.25,1,108308
246 sqm,242,4,3,Small,1,1,Yes,0.1,1,4,0,1.3,1.15,2,245764
696 sqm,600,8,7,Large,1,1,Yes,5.9,0,14,0,3.6,3.5,2,465443
304 sqm,290,5,2,Large,1,1,No,1.5,1,9,0,0.4,3.31,3,242717
189 sqm,186,3,4,Small,0,0,Yes,5.3,0,9,0,5.9,4.01,2,130817
231 sqm,214,3,4,Large,1,0,No,5.1,0,18,0,5.5,0.33,1,163823
219 sqm,219,4,3,Large,1,0,Yes,0.1,0,1,0,1.1,0.95,3,203727
269 sqm,253,5,2,Large,1,1,Yes,1.9,1,2,1,3.3,4.46,3,265642
276 sqm,257,5,3,Large,1,1,Yes,0.3,1,3,0,0.8,1.82,2,269725
332 sqm,301,6,7,Large,1,1,Yes,4.2,1,18,0,2.3,4.76,3,264906
123 sqm,105,2,3,Small,1,0,No,3.9,1,21,0,1.6,2.66,0,91729
343 sqm,315,5,5,Large,1,1,No,5.4,1,10,0,3.1,4.04,2,258646
178 sqm,160,3,3,Large,1,0,Yes,5.8,1,10,0,4.8,2.98,2,153486
138 sqm,123,1,1,Large,1,1,No,3.9,0,6,1,3.9,1.6,0,126754
158 sqm,158,2,2,Large,0,1,No,4.9,0,3,1,1.2,5.32,2,123602
160 sqm,157,3,4,Large,0,0,No,3.3,1,11,0,3.9,5.2,2,115821
146 sqm,140,1,2,Small,1,0,No,6.4,0,1,0,1.4,2.68,1,103121
237 sqm,207,3,1,Small,0,0,No,2.4,0,7,0,4.9,4.61,1,143156
163 sqm,140,3,3,Large,1,1,No,6.3,0,21,0,4.5,1.07,1,123621
333 sqm,301,5,2,Large,1,0,Yes,3.3,1,11,0,5.3,3.84,1,257661
299 sqm,289,4,5,Large,1,1,No,3.1,1,13,0,1.4,3.39,2,232859
168 sqm,159,2,1,Small,0,0,Yes,6.4,1,20,0,6.9,1.72,0,125212
237 sqm,223,4,5,Small,1,1,Yes,6.5,1,1,0,2.6,1.94,1,210292
112 sqm,111,1,1,Small,0,0,No,4.8,0,20,0,5.6,0.82,2,77740
322 sqm,285,5,2,Large,1,1,Yes,2.4,1,17,0,3.7,0.7,1,280434
249 sqm,219,4,3,Large,1,1,No,5.9,1,14,0,1.8,5.41,2,189477
294 sqm,278,5,4,Small,1,1,Yes,2.6,1,2,0,2.4,5.47,1,242052
460 sqm,393,7,5,Large,1,1,Yes,4.7,1,2,0,5.2,2.12,2,401801
280 sqm,271,5,3,Large,1,0,Yes,1.3,1,8,0,5.2,2.24,3,240660
300 sqm,298,4,3,Small,1,1,Yes,2.8,1,3,0,1.9,3.21,1,253279
175 sqm,163,3,3,Small,1,0,No,1.6,1,13,0,0.4,3.5,1,138130
234 sqm,224,3,2,Small,1,0,No,4.2,1,22,0,1.8,1.66,2,184594
201 sqm,188,3,1,Large,1,0,No,0.7,1,4,0,5.1,2.93,1,168055
349 sqm,297,5,3,Large,1,1,Yes,0.9,1,1,0,2.4,3.04,3,311806
182 sqm,157,3,4,Large,1,1,No,6.8,0,11,0,4.3,5.31,2,125834
441 sqm,410,6,5,Large,1,1,Yes,4.4,1,14,0,3.9,1.76,2,377317
307 sqm,284,4,3,Small,1,1,Yes,5.4,1,17,0,5.1,0.45,3,245729
349 sqm,325,6,4,Large,1,1,Yes,5.7,1,9,0,0.6,1.52,3,293504
144 sqm,125,2,1,Small,1,1,No,1.8,0,1,0,5.6,5.2,3,106515
205 sqm,181,3,2,Large,1,0,Yes,6.6,1,17,0,5.7,0.31,1,178255
196 sqm,173,4,2,Large,1,1,Yes,5.6,0,1,0,5.2,0.05,2,179503
311 sqm,304,5,5,Large,1,1,Yes,3.4,1,2,0,4.6,0.14,3,274670
246 sqm,224,5,2,Large,1,1,Yes,6.7,1,12,0,3.8,4.42,2,207832
270 sqm,246,4,4,Small,1,1,Yes,2.7,0,21,0,5.7,5.99,3,184955
207 sqm,203,4,2,Large,1,0,No,0.9,1,9,0,6.9,3.35,3,164986
122 sqm,104,1,2,Small,0,0,No,2.5,0,13,0,1.3,2.9,2,84893
176 sqm,151,2,2,Small,1,1,No,4.2,1,8,0,5.6,0.54,2,155583
276 sqm,247,4,3,Small,1,1,Yes,3.7,1,6,0,1.9,1.78,1,247904
186 sqm,159,2,1,Large,1,0,No,5.6,1,12,0,1.9,3.11,2,145244
251 sqm,215,4,4,Large,1,1,Yes,4.6,1,15,0,4.7,2.44,3,211375
232 sqm,208,5,2,Large,1,1,No,2.5,1,17,1,6.2,3.15,2,221211
341 sqm,328,5,3,Large,1,1,Yes,0.1,1,20,0,3.4,2.59,1,286575
236 sqm,205,4,5,Small,1,1,Yes,4.5,1,14,0,1.8,2.26,2,209809
302 sqm,276,5,4,Large,1,1,Yes,2.8,1,21,0,0.8,0.63,1,260260
120 sqm,111,2,3,Large,1,0,No,3.1,1,20,0,3.3,2.96,2,98955
201 sqm,184,4,4,Small,1,1,No,1.7,1,11,0,0.9,3.27,2,174610
280 sqm,253,4,4,Large,1,1,Yes,3.1,1,18,0,5.5,1.7,3,235390
273 sqm,259,4,3,Large,1,0,No,6.9,0,15,0,5.8,5.55,1,161254
198 sqm,174,4,2,Large,1,1,Yes,3.6,0,10,0,4.2,0.67,1,173087
183 sqm,160,2,2,Small,1,0,No,0.2,0,13,0,0.4,1.94,0,141367
293 sqm,268,5,3,Large,1,1,Yes,3.1,0,5,0,5.6,2.26,2,237112
345 sqm,315,5,3,Large,1,1,Yes,3.7,1,1,0,2.5,1.59,1,303979
315 sqm,301,6,5,Large,1,1,Yes,1.6,1,7,0,1.7,4.32,3,260354
182 sqm,164,3,1,Large,0,0,No,1.2,1,15,0,1.4,2.42,2,146771
221 sqm,190,3,1,Large,1,0,No,5.4,1,16,0,3.4,5.61,2,155618
219 sqm,211,4,2,Large,1,1,Yes,1.5,1,10,0,3.6,1.66,2,199131
130 sqm,130,1,1,Small,0,0,No,1.5,0,19,0,0.9,0.17,0,94429
355 sqm,326,5,3,Large,1,1,Yes,5.8,1,3,0,3.3,5.53,2,303346
136 sqm,132,2,2,Large,0,0,Yes,4.7,0,22,0,4.5,4.62,2,92415
243 sqm,237,5,4,Large,1,1,Yes,2.4,1,18,0,6.2,2.68,3,203363
182 sqm,167,2,1,Small,1,1,No,5.2,0,8,0,5.4,5.68,0,117077
226 sqm,216,3,3,Small,1,0,No,3.3,1,3,1,6.7,4.09,1,190490
473 sqm,458,7,5,Large,1,1,Yes,4.7,1,9,0,2.8,3.51,3,379043
795 sqm,656,8,5,Large,1,1,No,2.2,1,9,0,2.7,0.19,2,644543
163 sqm,152,2,3,Large,0,1,No,2.8,0,4,0,2.7,5.13,1,114833
431 sqm,376,7,8,Large,1,1,Yes,0.2,1,5,0,0.2,4.26,2,389842
504 sqm,465,8,8,Large,1,1,Yes,3.7,1,4,0,5.1,5.01,2,409801
305 sqm,305,4,5,Large,0,1,Yes,6.1,1,4,0,0.4,5.53,1,244614
239 sqm,235,3,2,Large,0,0,Yes,5.4,1,18,0,1.7,5.58,2,175611
224 sqm,222,4,4,Large,1,1,Yes,1.3,1,2,0,0.6,3.81,2,208059
103 sqm,94,1,2,Small,1,1,No,0.2,0,6,0,2.9,2.11,1,102382
211 sqm,204,4,4,Large,1,1,Yes,6.6,1,16,0,2.3,3.89,3,173303
442 sqm,425,6,4,Large,1,1,Yes,4.5,1,15,0,2.6,0.16,2,361545
240 sqm,220,3,3,Small,0,0,No,3.1,1,22,0,2.3,1.79,1,172782
387 sqm,351,6,7,Large,1,1,Yes,4.8,1,6,0,5.6,4.49,2,311792
500 sqm,400,8,7,Large,1,1,Yes,1.8,1,12,0,0.3,2.48,3,423332
112 sqm,100,1,1,Small,0,0,No,4.6,0,7,0,2.4,4.95,1,56449
100 sqm,90,1,2,Small,1,0,No,5.8,0,13,0,1.8,4.8,2,55934
199 sqm,179,3,2,Large,0,0,No,1.2,1,1,0,3.1,0.9,2,167103
112 sqm,103,1,1,Large,0,1,No,6.2,0,18,0,0.1,0.21,0,85371
206 sqm,180,3,4,Large,1,1,No,0.4,0,5,0,4.7,3.83,2,167932
289 sqm,277,4,4,Large,1,1,Yes,4.4,0,1,0,2.4,4.13,2,222235
290 sqm,275,4,5,Small,1,1,Yes,1.9,1,22,0,5.4,0.37,2,253505
149 sqm,142,2,3,Small,1,0,No,0.7,0,18,0,5.2,5.58,0,98291
200 sqm,185,3,4,Small,1,0,Yes,0.5,0,16,0,4.5,1.06,2,175630
190 sqm,178,2,3,Small,1,1,No,2.8,0,22,0,1.3,0.84,1,138401
153 sqm,140,2,2,Small,0,1,No,4.7,0,13,0,3.5,0.49,1,115849
169 sqm,162,3,3,Small,1,1,No,6.7,0,14,0,2.4,2.71,2,114589
368 sqm,344,6,5,Large,1,0,Yes,6.2,1,8,0,1.3,0.25,2,319371
214 sqm,192,3,2,Large,1,1,No,3.2,1,22,0,0.3,0.37,1,187450
293 sqm,269,4,5,Large,1,0,Yes,1.5,1,5,1,2.2,1.48,2,298551
253 sqm,230,4,3,Small,1,1,Yes,2.1,1,16,0,4.7,1.1,2,224728
203 sqm,190,4,3,Small,1,1,No,6.6,1,4,0,4.8,2.23,1,160754
240 sqm,240,3,4,Large,0,1,No,3.5,0,14,1,4.7,3.06,2,191761
195 sqm,194,4,5,Large,1,0,Yes,4.6,1,20,0,0.2,1.88,1,176233
147 sqm,125,2,3,Small,1,0,Yes,2.9,0,12,0,2.6,3.65,2,120194
181 sqm,155,2,2,Small,1,1,No,0.5,0,16,0,2.6,3.39,2,144047
309 sqm,299,4,5,Large,1,0,Yes,6.6,0,19,0,1.1,3.72,1,215654
124 sqm,119,1,1,Small,0,0,No,1.8,1,21,0,6.3,4.81,1,78707
179 sqm,158,3,3,Large,0,1,No,0.7,1,21,0,4.8,4.72,2,146866
305 sqm,297,6,4,Large,1,1,Yes,4.7,1,5,0,3.1,3.08,2,273920
324 sqm,278,6,6,Large,1,1,Yes,5.6,0,1,0,6.3,0.87,3,256072
147 sqm,142,1,1,Small,0,0,No,0.9,0,6,0,5.1,2.52,0,99336
354 sqm,353,6,4,Large,1,1,Yes,2.7,1,8,0,2.7,1.4,2,301483
219 sqm,187,3,4,Large,1,0,No,5.4,1,19,1,6.9,2.85,2,188074
215 sqm,196,3,1,Large,1,0,Yes,6.4,0,21,0,5.6,1.23,2,162089
214 sqm,213,3,1,Small,0,0,No,3.3,0,20,0,1.8,1.31,1,135486
247 sqm,231,5,2,Large,1,1,No,1.8,1,18,0,5.8,3.78,2,199377
183 sqm,160,3,1,Small,1,0,No,5.8,1,6,0,4.3,2.67,1,133510
422 sqm,363,6,4,Large,1,1,Yes,3.6,1,13,0,5.5,0.77,3,343594
327 sqm,314,5,2,Large,1,1,Yes,6.9,1,1,0,1.4,4.14,2,275940
216 sqm,207,3,3,Small,1,1,No,2.7,1,8,0,6.7,4.03,2,171422
236 sqm,207,5,5,Large,1,1,Yes,2.5,1,21,0,0.5,3.17,2,206156
197 sqm,196,4,2,Small,0,1,Yes,1.6,0,22,0,2.6,4.97,3,143109
222 sqm,215,3,2,Large,0,0,No,5.3,0,15,0,5.5,2.59,1,141155
215 sqm,198,3,3,Large,0,0,Yes,5.5,0,10,0,4.7,5.27,1,142975
162 sqm,158,2,3,Small,0,0,No,3.5,0,4,0,0.1,5.52,2,98345
416 sqm,394,7,4,Large,1,1,Yes,1.6,1,18,0,3.4,0.91,2,359742
145 sqm,125,1,1,Large,0,0,No,4.6,0,15,0,4.5,0.97,2,102731
473 sqm,420,7,5,Large,1,1,Yes,1.3,1,20,0,3.3,1.54,3,371194
128 sqm,127,1,1,Small,0,0,Yes,3.6,0,12,0,2.9,5.94,0,85841
132 sqm,114,2,3,Small,1,1,No,1.9,0,20,0,1.6,0.01,1,115491
177 sqm,161,3,4,Small,1,0,Yes,4.7,0,12,0,0.8,5.18,1,141499
268 sqm,234,5,2,Large,1,1,No,6.5,1,18,0,6.3,1.65,2,216301
583 sqm,518,7,6,Large,1,1,Yes,2.1,1,20,0,5.2,2.81,3,449667
258 sqm,239,4,5,Large,1,1,No,6.2,1,3,0,4.7,3.23,3,199059
248 sqm,217,5,4,Large,1,1,Yes,0.3,1,16,0,6.1,1.28,2,243707
432 sqm,382,6,6,Large,1,1,Yes,5.4,1,14,0,0.4,5.48,2,345210
149 sqm,130,1,1,Large,0,0,No,5.3,0,8,0,4.1,2.7,0,90455
122 sqm,104,2,1,Small,1,0,Yes,6.1,0,4,0,3.8,5.25,3,80785
277 sqm,256,4,5,Large,1,1,Yes,1.9,1,13,0,6.7,1.78,2,248253
169 sqm,157,3,1,Large,1,1,No,2.3,0,19,0,5.1,1.99,1,122585
455 sqm,408,6,4,Large,1,1,Yes,3.1,1,20,0,0.1,0.37,3,375863
457 sqm,421,7,7,Large,1,1,Yes,1.2,1,14,0,5.8,3.22,3,372077
411 sqm,372,7,5,Large,1,1,Yes,1.5,1,8,0,1.1,0.21,2,364821
202 sqm,201,4,3,Large,1,1,Yes,6.5,0,14,0,6.3,0.98,3,162484
235 sqm,218,4,2,Large,1,1,Yes,4.9,1,5,0,2.1,4.15,2,210297
252 sqm,232,4,5,Large,1,1,Yes,5.3,1,13,0,4.9,1.24,3,211419
283 sqm,278,5,3,Large,1,1,No,0.1,1,19,0,3.4,0.21,3,232895
255 sqm,238,4,2,Large,1,0,Yes,0.6,1,16,0,1.9,5.57,3,209901
311 sqm,283,5,3,Large,1,1,No,4.2,1,12,0,5.5,0.88,1,247310
282 sqm,279,5,3,Small,1,1,Yes,3.6,1,12,0,1.5,3.91,2,234954
424 sqm,373,7,6,Large,1,1,Yes,6.5,1,7,0,3.1,2.99,3,340988
186 sqm,163,2,2,Small,1,0,No,3.6,0,17,0,3.5,4.03,1,121043
320 sqm,316,5,2,Large,1,1,Yes,2.3,0,7,0,2.7,5.5,2,234493
210 sqm,188,3,2,Large,0,0,No,2.7,0,21,0,3.8,1.66,2,141446
307 sqm,263,6,6,Small,1,1,Yes,0.3,1,1,0,5.5,5.17,3,265825
162 sqm,148,3,4,Small,1,0,No,6.4,0,15,0,5.6,2.1,1,105012
178 sqm,158,3,1,Large,0,0,Yes,5.4,1,21,1,0.8,3.65,1,158963
196 sqm,189,3,2,Large,1,0,No,5.4,0,16,0,6.8,1.44,1,130314
284 sqm,275,4,3,Large,1,1,Yes,0.3,1,22,0,3.2,3.78,3,241101
264 sqm,247,4,5,Large,1,1,Yes,4.1,0,4,0,5.1,3.51,2,210850
239 sqm,235,3,4,Small,0,0,No,3.6,0,2,1,0.8,0.35,1,210149
358 sqm,329,5,4,Large,1,1,Yes,0.1,1,8,0,2.9,3.5,1,303522
257 sqm,224,5,5,Large,1,1,No,2.2,1,11,0,6.9,1.45,2,211964
265 sqm,252,4,4,Large,1,1,Yes,0.8,1,3,0,3.5,0.18,3,248271
239 sqm,227,4,4,Small,1,1,No,4.5,1,1,0,5.5,0.09,2,204066
248 sqm,245,4,5,Small,1,0,Yes,0.9,1,15,0,2.3,2.3,1,213582
119 sqm,112,1,2,Small,1,0,No,2.6,0,9,0,1.3,0.16,1,99687
281 sqm,248,5,2,Large,1,0,Yes,3.2,1,11,0,0.7,4.33,2,231734
281 sqm,255,4,3,Large,1,1,No,4.4,1,20,0,5.1,1.78,1,218658
282 sqm,276,4,5,Small,1,1,Yes,0.6,1,21,0,0.8,1.23,3,244701
195 sqm,167,3,3,Small,0,0,No,5.4,1,15,0,4.2,1.53,2,138699
215 sqm,190,4,4,Large,1,1,Yes,3.7,1,3,0,4.4,3.44,2,203796
253 sqm,235,4,5,Large,1,1,Yes,5.2,1,22,0,0.3,5.78,1,193588
357 sqm,326,5,3,Large,1,1,Yes,3.2,1,13,0,5.1,4.39,1,287864
144 sqm,141,1,2,Small,0,0,Yes,3.2,0,13,0,3.6,3.88,2,111650
167 sqm,163,2,2,Large,0,0,Yes,5.8,0,9,0,3.3,5.74,3,110255
234 sqm,202,4,5,Large,1,1,Yes,1.3,1,9,0,1.7,2.74,2,227386
252 sqm,235,4,3,Large,1,1,Yes,4.8,1,11,0,4.5,3.18,1,202430
217 sqm,206,3,1,Large,0,0,Yes,3.2,0,7,0,0.6,5.85,2,154263
185 sqm,182,3,4,Small,0,0,No,3.1,0,1,0,2.9,1.78,1,132269
309 sqm,281,4,5,Small,1,1,Yes,4.4,1,12,0,2.3,2.15,3,253437
320 sqm,301,5,3,Large,1,1,Yes,1.3,1,18,0,5.8,3.62,1,260687
251 sqm,235,4,2,Large,1,1,Yes,6.5,1,20,0,3.5,3.81,2,207501
245 sqm,216,4,3,Large,1,1,Yes,0.4,1,11,0,4.8,4.16,2,234819
187 sqm,168,2,1,Large,1,1,No,0.8,0,1,1,3.3,0.96,3,179699
203 sqm,191,3,2,Large,0,1,No,4.8,0,2,0,3.7,1.7,2,155699
229 sqm,201,4,4,Large,1,0,Yes,3.9,1,2,0,1.2,2.61,1,200777
289 sqm,249,5,4,Large,1,1,Yes,6.7,1,4,0,4.9,1.34,1,251614
302 sqm,272,5,5,Large,1,1,Yes,2.2,1,5,0,2.4,5.7,3,245225
177 sqm,159,2,1,Small,1,0,No,0.6,1,10,0,5.4,5.54,2,129022
216 sqm,210,4,3,Large,1,1,Yes,3.4,1,2,0,5.4,3.31,2,195579
320 sqm,288,5,4,Large,1,1,Yes,2.3,1,6,0,4.9,2.75,1,280584
352 sqm,320,5,2,Large,1,1,Yes,0.9,1,13,0,0.2,4.38,2,301979
281 sqm,276,5,5,Large,1,1,Yes,1.5,1,5,0,6.8,0.78,2,264539
172 sqm,165,2,1,Large,1,1,No,4.4,0,20,0,2.9,2.71,1,120204
223 sqm,193,3,3,Large,0,0,No,3.8,0,4,0,0.1,2.58,2,162248
333 sqm,291,6,6,Large,1,1,No,0.7,1,1,0,5.7,1.78,3,274541
143 sqm,125,1,2,Large,0,0,No,0.3,0,5,0,2.6,1.55,2,115524
423 sqm,391,6,7,Large,1,1,Yes,4.4,1,20,0,1.6,1.78,2,350271
227 sqm,207,4,5,Large,1,1,Yes,1.2,0,20,0,6.4,2.31,2,179026
191 sqm,187,3,1,Large,0,1,No,2.7,1,22,0,5.6,3.67,1,133199
282 sqm,275,5,4,Large,1,1,Yes,0.1,1,16,0,3.6,2.34,1,243872
202 sqm,181,4,2,Large,1,0,Yes,5.1,1,19,0,2.1,4.32,2,162475
303 sqm,262,5,4,Large,1,1,No,1.8,1,16,0,1.6,2.39,1,242807
197 sqm,189,3,3,Large,0,1,No,5.8,1,9,0,6.4,4.25,2,141902
107 sqm,96,1,2,Small,1,0,No,4.2,1,14,0,5.6,5.26,0,71675
196 sqm,171,3,1,Small,1,0,No,5.2,0,12,0,6.6,4.05,2,118981
195 sqm,186,4,4,Large,1,1,Yes,4.4,0,15,0,0.6,1.58,1,163236
172 sqm,161,3,2,Large,0,0,No,4.9,1,5,0,6.7,0.69,1,132877
155 sqm,144,3,4,Small,1,0,Yes,2.1,1,9,0,1.7,5.36,2,135525
263 sqm,243,4,2,Large,1,1,Yes,4.2,1,17,0,2.2,3.88,2,214448
208 sqm,188,4,4,Large,1,0,Yes,0.6,0,10,0,6.2,5.69,2,155881
198 sqm,176,3,3,Large,1,1,No,4.3,1,12,1,5.3,1.38,1,187375
221 sqm,214,4,4,Large,1,1,Yes,6.2,1,21,1,3.1,3.23,3,200528
411 sqm,353,6,5,Large,1,1,Yes,5.2,1,18,0,5.9,5.63,2,320074
147 sqm,128,2,3,Small,0,0,Yes,1.5,0,5,0,2.5,5.42,1,99550
147 sqm,147,2,2,Small,0,1,No,6.7,0,22,0,0.7,3.26,2,86593
323 sqm,314,5,4,Large,1,1,Yes,1.7,1,9,0,0.1,4.33,1,275390
433 sqm,383,7,5,Large,1,1,Yes,6.8,1,9,0,0.5,2.12,3,354330
180 sqm,162,2,1,Small,0,0,No,5.5,0,17,0,3.2,3.67,1,99400
171 sqm,162,3,1,Small,1,1,No,5.1,0,9,0,4.2,0.09,2,129818
438 sqm,412,6,6,Large,1,1,Yes,3.7,1,3,0,6.4,4.02,2,368133
132 sqm,125,2,3,Large,1,1,No,1.1,0,20,0,2.9,0.55,0,109905
160 sqm,159,3,1,Large,0,1,No,2.5,0,13,1,4.8,1.83,2,135020
327 sqm,309,5,4,Large,1,1,Yes,3.2,1,13,0,1.7,2.78,3,268555
154 sqm,144,3,2,Large,0,1,No,4.2,1,21,0,2.7,5.51,1,106570
557 sqm,517,7,8,Large,1,1,Yes,1.7,1,2,0,1.6,0.23,2,482771
